moneda,fecha,PC,score,score_z
usdzar,2025-02-21,PC2,1.8016934837795555,1.1259115525943606
usdzar,2025-02-24,PC2,1.674599680105432,1.0464882860353504
usdzar,2025-02-25,PC2,1.5160936143134873,0.9474349163927769
usdzar,2025-02-26,PC2,1.3425069051020573,0.8389573739930619
usdzar,2025-02-27,PC2,1.1390148316473765,0.7117914168384771
usdzar,2025-02-28,PC2,0.7358901037355087,0.459871324781373
usdzar,2025-03-03,PC2,0.9993271827726049,0.6244980236843211
usdzar,2025-03-04,PC2,1.101196361343687,0.68815795587538
usdzar,2025-03-05,PC2,0.332447117310653,0.2077523470982117
usdzar,2025-03-06,PC2,0.3081687692370792,0.19258035873279872
usdzar,2025-03-07,PC2,0.5782593536908959,0.3613649561247948
usdzar,2025-03-10,PC2,0.8448428176705532,0.5279578891222942
usdzar,2025-03-11,PC2,1.7827173566144305,1.1140530200575753
usdzar,2025-03-12,PC2,1.8598126798664225,1.162231312248721
usdzar,2025-03-13,PC2,1.2138100948903345,0.7585323590257813
usdzar,2025-03-14,PC2,1.351672842316361,0.8446853375411623
usdzar,2025-03-17,PC2,1.6634051688009053,1.0394926290510258
usdzar,2025-03-18,PC2,1.4357336168754424,0.8972164689728837
usdzar,2025-03-19,PC2,1.659435390570895,1.037011841275166
usdzar,2025-03-20,PC2,1.7904954934982622,1.1189137215331644
usdzar,2025-03-21,PC2,1.5767657791659193,0.9853500734065883
usdzar,2025-03-24,PC2,1.5409160649619393,0.9629469245120309
usdzar,2025-03-25,PC2,1.4284744101286817,0.8926800565295732
usdzar,2025-03-26,PC2,1.1023238063748741,0.6888625171101055
usdzar,2025-03-27,PC2,2.0262194046671587,1.266221949706931
usdzar,2025-03-28,PC2,3.2651366760654232,2.040444247303175
usdzar,2025-03-31,PC2,2.23222484406498,1.3949585556853894
usdzar,2025-04-01,PC2,2.20978780746151,1.3809372368843496
usdzar,2025-04-02,PC2,2.80121102212168,1.75052853299177
usdzar,2025-04-03,PC2,1.8819379893992823,1.176057827042744
usdzar,2025-04-04,PC2,2.407680948001103,1.5046043173942376
usdzar,2025-04-07,PC2,2.7443172460665535,1.7149745609605203
usdzar,2025-04-08,PC2,2.3129278293144955,1.4453913425269493
usdzar,2025-04-09,PC2,2.7795884144966045,1.7370161659096532
usdzar,2025-04-10,PC2,2.696230846911754,1.6849244815111144
usdzar,2025-04-11,PC2,3.221597701440158,2.013235937476876
usdzar,2025-04-14,PC2,4.027943655493933,2.517136425118285
usdzar,2025-04-15,PC2,2.7621160283705706,1.7260973489367335
usdzar,2025-04-16,PC2,2.1153987901954516,1.3219517957232119
usdzar,2025-04-17,PC2,2.3986970033529476,1.4989900843638737
usdzar,2025-04-18,PC2,2.1801195711649717,1.3623970077654106
usdzar,2025-04-21,PC2,2.290561692879793,1.4314143305515792
usdzar,2025-04-22,PC2,2.2860377801689316,1.4285872538984503
usdzar,2025-04-23,PC2,1.9910761445925353,1.2442602770528006
usdzar,2025-04-24,PC2,1.59099285325321,0.994240834914419
